city,area,price,availability_365,date,event_count,avg_influence,total_influence
Brooklyn,Park Slope,266.0,69,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,280.0,97,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,259.0,365,2025-11-10,5.0,0.37,1.85
Manhattan,Harlem,175.0,358,2025-11-10,5.0,0.64,3.2
Brooklyn,Williamsburg,320.0,334,2025-11-10,1.0,0.46,0.46
Manhattan,Upper West Side,122.0,312,2025-11-10,0.0,0.0,0.0
Manhattan,Lower East Side,513.0,310,2025-11-10,0.0,0.0,0.0
Queens,Astoria,275.0,280,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,248.0,313,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,69.0,274,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,162.0,365,2025-11-10,0.0,0.0,0.0
Brooklyn,Crown Heights,122.0,240,2025-11-10,0.0,0.0,0.0
Manhattan,Upper West Side,310.0,335,2025-11-10,0.0,0.0,0.0
Brooklyn,Gravesend,162.0,361,2025-11-10,4.0,0.53,2.12
Brooklyn,Fort Greene,105.0,295,2025-11-10,0.0,0.0,0.0
Manhattan,Upper West Side,2500.0,364,2025-11-10,5.0,0.31,1.55
Brooklyn,Crown Heights,101.0,53,2025-11-10,0.0,0.0,0.0
Manhattan,Kips Bay,150.0,274,2025-11-10,0.0,0.0,0.0
Manhattan,East Village,175.0,83,2025-11-10,0.0,0.0,0.0
Manhattan,East Harlem,133.0,334,2025-11-10,0.0,0.0,0.0
Manhattan,Hell's Kitchen,180.0,59,2025-11-10,0.0,0.0,0.0
Brooklyn,Park Slope,130.0,354,2025-11-10,5.0,0.53,2.6500000000000004
Manhattan,Chelsea,134.0,203,2025-11-10,0.0,0.0,0.0
Manhattan,Washington Heights,76.0,365,2025-11-10,0.0,0.0,0.0
Brooklyn,Flatbush,60.0,88,2025-11-10,0.0,0.0,0.0
Brooklyn,Park Slope,133.0,9,2025-11-10,0.0,0.0,0.0
Manhattan,Upper West Side,243.0,88,2025-11-10,0.0,0.0,0.0
Brooklyn,Crown Heights,142.0,334,2025-11-10,2.0,0.79,1.58
Manhattan,Stuyvesant Town,125.0,58,2025-11-10,0.0,0.0,0.0
Brooklyn,Clinton Hill,398.0,41,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,185.0,178,2025-11-10,0.0,0.0,0.0
Brooklyn,Sheepshead Bay,65.0,87,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,89.0,334,2025-11-10,2.0,0.63,1.26
Queens,Sunnyside,71.0,300,2025-11-10,0.0,0.0,0.0
Manhattan,Chinatown,220.0,292,2025-11-10,0.0,0.0,0.0
Brooklyn,Fort Greene,183.0,181,2025-11-10,0.0,0.0,0.0
Brooklyn,Fort Hamilton,121.0,175,2025-11-10,2.0,0.31,0.62
Manhattan,Harlem,53.0,25,2025-11-10,0.0,0.0,0.0
Brooklyn,Bensonhurst,106.0,29,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,91.0,38,2025-11-10,0.0,0.0,0.0
Manhattan,Chelsea,141.0,85,2025-11-10,0.0,0.0,0.0
Brooklyn,Prospect Heights,150.0,364,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,182.0,328,2025-11-10,0.0,0.0,0.0
Staten Island,Shore Acres,80.0,305,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,161.0,364,2025-11-10,0.0,0.0,0.0
Manhattan,East Harlem,145.0,53,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,108.0,62,2025-11-10,0.0,0.0,0.0
Queens,Ridgewood,83.0,365,2025-11-10,0.0,0.0,0.0
Brooklyn,South Slope,288.0,215,2025-11-10,0.0,0.0,0.0
Manhattan,Chelsea,110.0,364,2025-11-10,3.0,0.58,1.7399999999999998
Manhattan,Midtown,143.0,97,2025-11-10,0.0,0.0,0.0
Manhattan,Lower East Side,180.0,224,2025-11-10,0.0,0.0,0.0
Queens,Ditmars Steinway,250.0,335,2025-11-10,5.0,0.47,2.3499999999999996
Bronx,Kingsbridge,44.0,1,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,177.0,352,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,428.0,60,2025-11-10,0.0,0.0,0.0
Brooklyn,Bushwick,95.0,364,2025-11-10,2.0,0.59,1.18
Brooklyn,Williamsburg,185.0,334,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,99.0,365,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,122.0,358,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,360.0,365,2025-11-10,0.0,0.0,0.0
Manhattan,Upper West Side,115.0,362,2025-11-10,0.0,0.0,0.0
Brooklyn,Sunset Park,181.0,315,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,428.0,60,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,428.0,60,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,428.0,60,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,428.0,60,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,428.0,60,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,428.0,60,2025-11-10,2.0,0.54,1.08
Brooklyn,Greenpoint,428.0,60,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,428.0,41,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,513.0,60,2025-11-10,4.0,0.86,3.44
Brooklyn,Greenpoint,319.0,0,2025-11-10,2.0,0.32,0.64
Brooklyn,Greenpoint,381.0,60,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,590.0,0,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,93.0,152,2025-11-10,4.0,0.71,2.84
Brooklyn,Bedford-Stuyvesant,229.0,280,2025-11-10,0.0,0.0,0.0
Manhattan,Nolita,495.0,305,2025-11-10,0.0,0.0,0.0
Manhattan,Tribeca,590.0,365,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,125.0,83,2025-11-10,1.0,0.81,0.81
Manhattan,Upper West Side,247.0,167,2025-11-10,0.0,0.0,0.0
Manhattan,Lower East Side,126.0,258,2025-11-10,0.0,0.0,0.0
Manhattan,Lower East Side,235.0,365,2025-11-10,0.0,0.0,0.0
Brooklyn,Kensington,69.0,238,2025-11-10,2.0,0.88,1.76
Brooklyn,Williamsburg,175.0,296,2025-11-10,0.0,0.0,0.0
Brooklyn,Crown Heights,65.0,179,2025-11-10,4.0,0.41,1.64
Queens,Astoria,95.0,365,2025-11-10,0.0,0.0,0.0
Queens,Woodside,124.0,365,2025-11-10,0.0,0.0,0.0
Manhattan,East Village,259.0,332,2025-11-10,0.0,0.0,0.0
Brooklyn,Prospect-Lefferts Gardens,71.0,136,2025-11-10,0.0,0.0,0.0
Manhattan,Inwood,81.0,243,2025-11-10,0.0,0.0,0.0
Manhattan,Upper East Side,96.0,289,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,141.0,180,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,352.0,365,2025-11-10,0.0,0.0,0.0
Brooklyn,Prospect Heights,630.0,365,2025-11-10,2.0,0.62,1.24
Brooklyn,Bedford-Stuyvesant,1568.0,245,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,117.0,360,2025-11-10,0.0,0.0,0.0
Manhattan,Hell's Kitchen,200.0,50,2025-11-10,0.0,0.0,0.0
Brooklyn,Carroll Gardens,293.0,331,2025-11-10,0.0,0.0,0.0
Manhattan,West Village,225.0,179,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,428.0,60,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,428.0,58,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,428.0,57,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,428.0,57,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,428.0,60,2025-11-10,0.0,0.0,0.0
Manhattan,Upper West Side,375.0,195,2025-11-10,1.0,0.33,0.33
Brooklyn,Bedford-Stuyvesant,50.0,169,2025-11-10,2.0,0.6,1.2
Brooklyn,East New York,136.0,365,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,55.0,326,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,283.0,324,2025-11-10,4.0,0.38,1.52
Manhattan,Harlem,200.0,315,2025-11-10,1.0,0.8,0.8
Manhattan,Harlem,300.0,298,2025-11-10,0.0,0.0,0.0
Manhattan,Upper East Side,75.0,312,2025-11-10,1.0,0.37,0.37
Manhattan,East Harlem,150.0,88,2025-11-10,1.0,0.61,0.61
Manhattan,Harlem,283.0,328,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,350.0,315,2025-11-10,0.0,0.0,0.0
Brooklyn,Bushwick,169.0,89,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,64.0,274,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,64.0,295,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,156.0,327,2025-11-10,0.0,0.0,0.0
Manhattan,East Village,121.0,306,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,87.0,169,2025-11-10,0.0,0.0,0.0
Manhattan,Washington Heights,211.0,236,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,285.0,365,2025-11-10,0.0,0.0,0.0
Manhattan,Upper East Side,225.0,363,2025-11-10,0.0,0.0,0.0
Brooklyn,Crown Heights,237.0,50,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,159.0,363,2025-11-10,3.0,0.61,1.83
Manhattan,Hell's Kitchen,75.0,314,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,135.0,179,2025-11-10,0.0,0.0,0.0
Manhattan,Hell's Kitchen,132.0,121,2025-11-10,0.0,0.0,0.0
Manhattan,Hell's Kitchen,212.0,88,2025-11-10,0.0,0.0,0.0
Brooklyn,Park Slope,167.0,332,2025-11-10,0.0,0.0,0.0
Manhattan,Chelsea,290.0,364,2025-11-10,0.0,0.0,0.0
Brooklyn,Prospect-Lefferts Gardens,84.0,305,2025-11-10,0.0,0.0,0.0
Manhattan,Chinatown,120.0,268,2025-11-10,0.0,0.0,0.0
Brooklyn,Carroll Gardens,575.0,336,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,325.0,29,2025-11-10,0.0,0.0,0.0
Bronx,Spuyten Duyvil,204.0,365,2025-11-10,0.0,0.0,0.0
Manhattan,Upper East Side,120.0,118,2025-11-10,4.0,0.88,3.52
Manhattan,Washington Heights,75.0,83,2025-11-10,0.0,0.0,0.0
Queens,Briarwood,75.0,365,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,52.0,152,2025-11-10,3.0,0.69,2.07
Manhattan,Harlem,130.0,365,2025-11-10,0.0,0.0,0.0
Manhattan,Upper West Side,127.0,365,2025-11-10,1.0,0.47,0.47
Brooklyn,Prospect-Lefferts Gardens,435.0,306,2025-11-10,0.0,0.0,0.0
Brooklyn,Boerum Hill,300.0,352,2025-11-10,0.0,0.0,0.0
Brooklyn,Crown Heights,190.0,250,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,164.0,179,2025-11-10,0.0,0.0,0.0
Brooklyn,Greenpoint,138.0,336,2025-11-10,3.0,0.44,1.32
Brooklyn,South Slope,125.0,217,2025-11-10,0.0,0.0,0.0
Queens,Astoria,150.0,364,2025-11-10,0.0,0.0,0.0
Manhattan,Midtown,246.0,325,2025-11-10,0.0,0.0,0.0
Manhattan,Washington Heights,343.0,334,2025-11-10,0.0,0.0,0.0
Brooklyn,Clinton Hill,144.0,119,2025-11-10,0.0,0.0,0.0
Brooklyn,East New York,122.0,243,2025-11-10,0.0,0.0,0.0
Brooklyn,South Slope,145.0,273,2025-11-10,0.0,0.0,0.0
Brooklyn,Prospect-Lefferts Gardens,140.0,59,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,55.0,215,2025-11-10,0.0,0.0,0.0
Brooklyn,Park Slope,454.0,268,2025-11-10,2.0,0.38,0.76
Queens,Ridgewood,72.0,147,2025-11-10,0.0,0.0,0.0
Manhattan,Upper West Side,518.0,178,2025-11-10,0.0,0.0,0.0
Manhattan,Kips Bay,100.0,274,2025-11-10,0.0,0.0,0.0
Brooklyn,Clinton Hill,202.0,177,2025-11-10,0.0,0.0,0.0
Brooklyn,Windsor Terrace,72.0,365,2025-11-10,3.0,0.75,2.25
Manhattan,Upper West Side,253.0,269,2025-11-10,0.0,0.0,0.0
Brooklyn,Clinton Hill,114.0,300,2025-11-10,0.0,0.0,0.0
Manhattan,Inwood,120.0,99,2025-11-10,5.0,0.71,3.55
Manhattan,West Village,227.0,149,2025-11-10,0.0,0.0,0.0
Manhattan,Washington Heights,103.0,87,2025-11-10,0.0,0.0,0.0
Manhattan,SoHo,252.0,142,2025-11-10,0.0,0.0,0.0
Manhattan,Upper West Side,120.0,322,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,210.0,89,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,200.0,364,2025-11-10,0.0,0.0,0.0
Manhattan,Lower East Side,218.0,79,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,45.0,240,2025-11-10,0.0,0.0,0.0
Brooklyn,Fort Greene,418.0,274,2025-11-10,0.0,0.0,0.0
Queens,Sunnyside,113.0,364,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,49.0,305,2025-11-10,0.0,0.0,0.0
Brooklyn,Boerum Hill,400.0,358,2025-11-10,0.0,0.0,0.0
Brooklyn,Park Slope,103.0,365,2025-11-10,0.0,0.0,0.0
Brooklyn,Prospect Heights,143.0,365,2025-11-10,0.0,0.0,0.0
Brooklyn,South Slope,802.0,363,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,160.0,267,2025-11-10,0.0,0.0,0.0
Manhattan,Hell's Kitchen,80.0,362,2025-11-10,0.0,0.0,0.0
Brooklyn,Prospect Heights,304.0,358,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,45.0,299,2025-11-10,0.0,0.0,0.0
Brooklyn,Prospect Heights,100.0,254,2025-11-10,0.0,0.0,0.0
Brooklyn,Boerum Hill,314.0,235,2025-11-10,1.0,0.67,0.67
Brooklyn,Bushwick,150.0,215,2025-11-10,0.0,0.0,0.0
Brooklyn,Windsor Terrace,433.0,217,2025-11-10,1.0,0.32,0.32
Brooklyn,Sunset Park,80.0,150,2025-11-10,0.0,0.0,0.0
Manhattan,Upper West Side,75.0,241,2025-11-10,0.0,0.0,0.0
Brooklyn,Prospect-Lefferts Gardens,84.0,73,2025-11-10,0.0,0.0,0.0
Manhattan,Greenwich Village,308.0,321,2025-11-10,0.0,0.0,0.0
Brooklyn,Bushwick,43.0,133,2025-11-10,4.0,0.76,3.04
Manhattan,Harlem,134.0,291,2025-11-10,2.0,0.69,1.38
Brooklyn,Williamsburg,308.0,269,2025-11-10,0.0,0.0,0.0
Queens,Ridgewood,108.0,218,2025-11-10,0.0,0.0,0.0
Brooklyn,Clinton Hill,190.0,365,2025-11-10,4.0,0.88,3.52
Brooklyn,Williamsburg,301.0,93,2025-11-10,0.0,0.0,0.0
Brooklyn,Prospect-Lefferts Gardens,77.0,240,2025-11-10,0.0,0.0,0.0
Brooklyn,Windsor Terrace,54.0,182,2025-11-10,0.0,0.0,0.0
Brooklyn,Crown Heights,88.0,58,2025-11-10,0.0,0.0,0.0
Brooklyn,Crown Heights,126.0,348,2025-11-10,3.0,0.65,1.9500000000000002
Manhattan,Harlem,243.0,180,2025-11-10,5.0,0.48,2.4
Manhattan,Harlem,90.0,120,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,90.0,219,2025-11-10,0.0,0.0,0.0
Manhattan,East Village,230.0,342,2025-11-10,0.0,0.0,0.0
Manhattan,Hell's Kitchen,175.0,355,2025-11-10,0.0,0.0,0.0
Brooklyn,Crown Heights,82.0,60,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,92.0,341,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,230.0,93,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,283.0,346,2025-11-10,0.0,0.0,0.0
Queens,Astoria,65.0,365,2025-11-10,0.0,0.0,0.0
Brooklyn,Gravesend,670.0,365,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,97.0,335,2025-11-10,5.0,0.53,2.6500000000000004
Manhattan,Nolita,168.0,365,2025-11-10,5.0,0.41,2.05
Queens,Sunnyside,60.0,331,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,146.0,177,2025-11-10,0.0,0.0,0.0
Brooklyn,Prospect Heights,83.0,297,2025-11-10,0.0,0.0,0.0
Manhattan,Hell's Kitchen,153.0,148,2025-11-10,0.0,0.0,0.0
Manhattan,East Harlem,120.0,120,2025-11-10,5.0,0.73,3.65
Manhattan,Harlem,59.0,365,2025-11-10,2.0,0.72,1.44
Manhattan,Harlem,125.0,132,2025-11-10,0.0,0.0,0.0
Manhattan,Upper West Side,1000.0,364,2025-11-10,0.0,0.0,0.0
Staten Island,Tottenville,150.0,334,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,135.0,365,2025-11-10,0.0,0.0,0.0
Brooklyn,Crown Heights,153.0,305,2025-11-10,0.0,0.0,0.0
Staten Island,Tompkinsville,70.0,364,2025-11-10,0.0,0.0,0.0
Manhattan,Hell's Kitchen,173.0,102,2025-11-10,0.0,0.0,0.0
Queens,Astoria,74.0,300,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,150.0,89,2025-11-10,0.0,0.0,0.0
Manhattan,SoHo,595.0,293,2025-11-10,0.0,0.0,0.0
Brooklyn,Clinton Hill,330.0,170,2025-11-10,0.0,0.0,0.0
Manhattan,Gramercy,273.0,59,2025-11-10,0.0,0.0,0.0
Queens,Ridgewood,61.0,212,2025-11-10,0.0,0.0,0.0
Manhattan,Upper West Side,2500.0,364,2025-11-10,3.0,0.42,1.26
Brooklyn,Williamsburg,267.0,183,2025-11-10,5.0,0.4,2.0
Manhattan,Lower East Side,185.0,117,2025-11-10,1.0,0.35,0.35
Brooklyn,Park Slope,81.0,334,2025-11-10,3.0,0.85,2.55
Manhattan,West Village,171.0,365,2025-11-10,0.0,0.0,0.0
Queens,Ridgewood,100.0,178,2025-11-10,0.0,0.0,0.0
Brooklyn,Sunset Park,53.0,1,2025-11-10,0.0,0.0,0.0
Manhattan,Murray Hill,161.0,296,2025-11-10,2.0,0.44,0.88
Manhattan,Murray Hill,159.0,77,2025-11-10,0.0,0.0,0.0
Brooklyn,Crown Heights,225.0,365,2025-11-10,0.0,0.0,0.0
Brooklyn,Park Slope,500.0,365,2025-11-10,5.0,0.51,2.55
Brooklyn,Williamsburg,600.0,334,2025-11-10,0.0,0.0,0.0
Brooklyn,Bedford-Stuyvesant,190.0,338,2025-11-10,0.0,0.0,0.0
Brooklyn,Williamsburg,246.0,250,2025-11-10,0.0,0.0,0.0
Brooklyn,Prospect-Lefferts Gardens,78.0,274,2025-11-10,0.0,0.0,0.0
Queens,Woodside,95.0,292,2025-11-10,2.0,0.47,0.94
Staten Island,Concord,78.0,362,2025-11-10,0.0,0.0,0.0
Manhattan,East Village,590.0,179,2025-11-10,0.0,0.0,0.0
Manhattan,Harlem,270.0,362,2025-11-10,0.0,0.0,0.0
Manhattan,East Village,196.0,305,2025-11-10,0.0,0.0,0.0
Staten Island,Concord,58.0,358,2025-11-10,0.0,0.0,0.0
Brooklyn,Carroll Gardens,240.0,365,2025-11-10,5.0,0.55,2.75
Brooklyn,Clinton Hill,200.0,84,2025-11-10,1.0,0.73,0.73
Queens,Woodside,95.0,290,2025-11-10,0.0,0.0,0.0
Queens,Woodside,95.0,336,2025-11-10,3.0,0.82,2.46
Manhattan,Greenwich Village,250.0,365,2025-11-10,0.0,0.0,0.0
Manhattan,East Village,88.0,3,2025-11-10,0.0,0.0,0.0
